Team,GP,YDS,YDS/G,YDS,YDS/G,YDS,YDS/G,PTS,PTS/G
New England Patriots,16,"6,307",394.2,"4,418",276.1,"1,889",118.1,458,28.6
New Orleans Saints,16,"6,259",391.2,"4,189",261.8,"2,070",129.4,448,28.0
Pittsburgh Steelers,16,"6,047",377.9,"4,380",273.8,"1,667",104.2,406,25.4
Los Angeles Chargers,16,"6,026",376.6,"4,431",276.9,"1,595",99.7,355,22.2
Kansas City Chiefs,16,"6,007",375.4,"4,104",256.5,"1,903",118.9,415,25.9
Jacksonville Jaguars,16,"5,855",365.9,"3,593",224.6,"2,262",141.4,417,26.1
Philadelphia Eagles,16,"5,852",365.8,"3,737",233.6,"2,115",132.2,457,28.6
Atlanta Falcons,16,"5,837",364.8,"3,990",249.4,"1,847",115.4,353,22.1
Tampa Bay Buccaneers,16,"5,816",363.5,"4,366",272.9,"1,450",90.6,335,20.9
Los Angeles Rams,16,"5,784",361.5,"3,831",239.4,"1,953",122.1,478,29.9
Minnesota Vikings,16,"5,710",356.9,"3,753",234.6,"1,957",122.3,382,23.9
San Francisco 49ers,16,"5,589",349.3,"3,925",245.3,"1,664",104.0,331,20.7
Detroit Lions,16,"5,404",337.8,"4,183",261.4,"1,221",76.3,410,25.6
Dallas Cowboys,16,"5,311",331.9,"3,141",196.3,"2,170",135.6,354,22.1
Seattle Seahawks,16,"5,286",330.4,"3,657",228.6,"1,629",101.8,366,22.9
Washington Redskins,16,"5,199",324.9,"3,751",234.4,"1,448",90.5,342,21.4
Denver Broncos,16,"5,185",324.1,"3,333",208.3,"1,852",115.8,289,18.1
Oakland Raiders,16,"5,185",324.1,"3,631",226.9,"1,554",97.1,301,18.8
Carolina Panthers,16,"5,179",323.7,"3,077",192.3,"2,102",131.4,363,22.7
Houston Texans,16,"5,120",320.0,"3,278",204.9,"1,842",115.1,338,21.1
New York Giants,16,"5,028",314.3,"3,479",217.4,"1,549",96.8,246,15.4
Arizona Cardinals,16,"5,026",314.1,"3,640",227.5,"1,386",86.6,295,18.4
Tennessee Titans,16,"5,024",314.0,"3,191",199.4,"1,833",114.6,334,20.9
Cleveland Browns,16,"4,942",308.9,"3,228",201.8,"1,714",107.1,234,14.6
Miami Dolphins,16,"4,923",307.7,"3,535",220.9,"1,388",86.8,281,17.6
Green Bay Packers,16,"4,891",305.7,"3,167",197.9,"1,724",107.8,320,20.0
Baltimore Ravens,16,"4,886",305.4,"3,030",189.4,"1,856",116.0,395,24.7
New York Jets,16,"4,884",305.3,"3,182",198.9,"1,702",106.4,298,18.6
Buffalo Bills,16,"4,842",302.6,"2,825",176.6,"2,017",126.1,302,18.9
Chicago Bears,16,"4,599",287.4,"2,811",175.7,"1,788",111.8,264,16.5
Indianapolis Colts,16,"4,553",284.6,"2,892",180.8,"1,661",103.8,263,16.4
Cincinnati Bengals,16,"4,488",280.5,"3,122",195.1,"1,366",85.4,290,18.1
